hitting_player,agg,shots_played,tier
Adrian Mannarino,4.96406470524373,9211,Moderate Aggressors
Albert Ramos,4.92431500287412,5219,Moderate Aggressors
Alejandro Davidovich Fokina,4.85331723256145,14078,Balanced Players
Alejandro Tabilo,4.90344827586207,1450,Moderate Aggressors
Aleksandar Kovacevic,4.87550200803213,1245,Balanced Players
Aleksandar Vukic,4.9300796123226,2889,Moderate Aggressors
Alex De Minaur,4.87834577828833,17410,Balanced Players
Alex Molcan,4.87391841779975,4854,Balanced Players
Alexander Bublik,5.14898255813953,12384,Ultra Aggressors
Alexander Shevchenko,4.9302925989673,2324,Moderate Aggressors
Alexander Zverev,5.06563601844318,25809,Ultra Aggressors
Alexandre Muller,4.92371323529412,2176,Moderate Aggressors
Alexei Popyrin,4.98072952512044,2906,Moderate Aggressors
Andrey Rublev,4.97232208299884,28651,Moderate Aggressors
Andy Murray,4.89230535433869,19741,Balanced Players
Arthur Fils,5.15300546448087,1098,Ultra Aggressors
Arthur Rinderknech,5.12276906435911,1849,Ultra Aggressors
Aslan Karatsev,4.92253381066031,10056,Moderate Aggressors
Ben Shelton,4.94341027550261,2686,Moderate Aggressors
Benjamin Bonzi,5.00515463917526,2328,Moderate Aggressors
Benoit Paire,4.93264024258176,4617,Moderate Aggressors
Bernabe Zapata Miralles,4.85896551724138,2900,Balanced Players
Borna Coric,5.05872319688109,4104,Ultra Aggressors
Botic Van De Zandschulp,4.96827794561934,31114,Moderate Aggressors
Brandon Nakashima,4.95360739640086,6057,Moderate Aggressors
Cameron Norrie,4.94390426327599,9359,Moderate Aggressors
Carlos Alcaraz,4.97791892702341,36683,Moderate Aggressors
Casper Ruud,4.84423940325945,28287,Balanced Players
Christopher Eubanks,5.05421686746988,1826,Ultra Aggressors
Christopher Oconnell,4.94101382488479,2170,Moderate Aggressors
Corentin Moutet,4.71362586605081,2598,Balanced Players
Cristian Garin,4.9123754152824,4816,Moderate Aggressors
Daniel Altmaier,4.91634980988593,1315,Moderate Aggressors
Daniel Elahi Galan,5.02120669056153,3348,Moderate Aggressors
Daniel Evans,4.58852223816355,6970,Conservative Players
Daniil Medvedev,4.99553578623348,62049,Moderate Aggressors
David Goffin,4.97316051322336,7638,Moderate Aggressors
Denis Shapovalov,5.04171898981444,14334,Moderate Aggressors
Diego Schwartzman,4.83470652570178,13715,Balanced Players
Dominic Thiem,4.89240061806432,28476,Balanced Players
Dominik Koepfer,4.81263269639066,1884,Balanced Players
Dusan Lajovic,4.85722873459573,3327,Balanced Players
Egor Gerasimov,5.02320380206877,3577,Moderate Aggressors
Elias Ymer,4.80397022332506,1209,Balanced Players
Emil Ruusuvuori,4.8935852133732,7358,Balanced Players
Emilio Nava,5.06589673913043,1472,Ultra Aggressors
Enzo Couacaud,4.83762886597938,1164,Balanced Players
Ernests Gulbis,5.02886497064579,2044,Moderate Aggressors
Fabian Marozsan,5.16412213740458,1048,Ultra Aggressors
Fabio Fognini,4.86322346223722,3853,Balanced Players
Federico Coria,4.8157134604275,1731,Balanced Players
Federico Delbonis,4.86542158747597,3641,Balanced Players
Feliciano Lopez,4.88862629246676,6770,Balanced Players
Felix Auger Aliassime,5.04419550799755,17943,Moderate Aggressors
Filip Krajinovic,5.00550264550265,4725,Moderate Aggressors
Flavio Cobolli,5.0514385353095,1147,Ultra Aggressors
Frances Tiafoe,5.02368012422361,10304,Moderate Aggressors
Francisco Cerundolo,4.93521897810218,8768,Moderate Aggressors
Gael Monfils,4.92687074829932,14112,Moderate Aggressors
Gijs Brouwer,4.94335564053537,4184,Moderate Aggressors
Gilles Simon,4.87945059341245,7499,Balanced Players
Gregoire Barrere,4.87276096355775,1619,Balanced Players
Grigor Dimitrov,4.68079189564988,15103,Balanced Players
Holger Rune,5.01828844051286,10061,Moderate Aggressors
Hubert Hurkacz,5.12593217954129,56856,Ultra Aggressors
Hugo Gaston,5.07305255311219,2683,Ultra Aggressors
Ilya Ivashka,4.81305841924399,1455,Balanced Players
Ivo Karlovic,5.09520123839009,1292,Ultra Aggressors
J J Wolf,5.03306181121227,2087,Moderate Aggressors
Jack Draper,5.09425367904695,2854,Ultra Aggressors
James Duckworth,4.9735401459854,1096,Moderate Aggressors
Jan Lennard Struff,5.13294797687861,3460,Ultra Aggressors
Jannik Sinner,4.93663343108503,42625,Moderate Aggressors
Jason Kubler,5.05270362765229,1461,Ultra Aggressors
Jaume Munar,4.67713365539452,3726,Balanced Players
Jelle Sels,4.85339034819792,1637,Balanced Players
Jenson Brooksby,4.81855917350797,10841,Balanced Players
Jeremy Chardy,5.04253214638971,1011,Moderate Aggressors
Jesper De Jong,5.09533073929961,1542,Ultra Aggressors
Jiri Lehecka,4.89712597367714,7446,Balanced Players
Jiri Vesely,5.20434487440597,1473,Ultra Aggressors
Jo Wilfried Tsonga,4.93254901960784,1275,Moderate Aggressors
John Isner,5.17506257822278,6392,Ultra Aggressors
John Millman,4.94107482287887,5787,Moderate Aggressors
Jordan Thompson,4.91880233443289,3941,Moderate Aggressors
Juan Manuel Cerundolo,4.7571533382245,1363,Balanced Players
Juan Pablo Varillas,4.98020103563814,3283,Moderate Aggressors
Karen Khachanov,4.83778351995406,10449,Balanced Players
Kei Nishikori,4.87925445705024,1234,Balanced Players
Laslo Djere,4.83105631456182,6002,Balanced Players
Learner Tien,4.84527687296417,1228,Balanced Players
Lloyd Harris,5.04789272030651,1044,Ultra Aggressors
Lorenzo Musetti,4.90652467883705,11832,Moderate Aggressors
Lorenzo Sonego,4.8394876912841,6012,Balanced Players
Mackenzie Mcdonald,5.16438356164384,2993,Ultra Aggressors
Marc Andrea Huesler,5.15701357466063,2210,Ultra Aggressors
Marco Cecchinato,5.05146804835924,2895,Ultra Aggressors
Marcos Giron,4.88184132371659,4714,Balanced Players
Marin Cilic,4.97375299499019,9182,Moderate Aggressors
Marton Fucsovics,4.71120162932791,9820,Balanced Players
Matteo Berrettini,4.78711691259932,17620,Balanced Players
Mattia Bellucci,5.02257525083612,1196,Moderate Aggressors
Max Purcell,4.5391254315305,1738,Conservative Players
Maxime Cressy,5.29819542253521,9088,Ultra Aggressors
Mikael Ymer,4.71010638297872,5640,Balanced Players
Mikhail Kukushkin,4.90485695276114,3006,Moderate Aggressors
Milos Raonic,5.0662617338487,1811,Ultra Aggressors
Miomir Kecmanovic,4.81078352180938,9904,Balanced Players
Nick Kyrgios,5.15871399476287,13748,Ultra Aggressors
Nicolas Jarry,4.92887997531626,6482,Moderate Aggressors
Nicolas Mejia,4.85536547433904,1286,Balanced Players
Nikoloz Basilashvili,4.84836637810667,3581,Balanced Players
Novak Djokovic,5.00459113750571,43780,Moderate Aggressors
Nuno Borges,4.89350478074514,3033,Balanced Players
Oleksii Krutykh,4.81296992481203,1064,Balanced Players
Oscar Otte,5.02272727272727,1320,Moderate Aggressors
Otto Virtanen,5.1371610845295,1254,Ultra Aggressors
Pablo Andujar,4.91312835529527,2049,Moderate Aggressors
Pablo Carreno Busta,4.84420977693403,8428,Balanced Players
Paul Jubb,4.81452581032413,1666,Balanced Players
Pavel Kotov,4.9710009354537,1069,Moderate Aggressors
Pedro Cachin,4.88472222222222,1440,Balanced Players
Pedro Martinez,4.95823509599192,5938,Moderate Aggressors
Peter Gojowczyk,4.90035952747817,1947,Moderate Aggressors
Pierre Hugues Herbert,5.29247633283508,2007,Ultra Aggressors
Quentin Halys,5.19126506024096,1328,Ultra Aggressors
Radu Albot,4.85792649478881,1823,Balanced Players
Rafael Nadal,4.9477734119188,18324,Moderate Aggressors
Reilly Opelka,5.08868566567418,9404,Ultra Aggressors
Richard Gasquet,4.91386554621849,6188,Moderate Aggressors
Roberto Bautista Agut,4.87539913924754,14406,Balanced Players
Roberto Carballes Baena,4.8135593220339,3953,Balanced Players
Robin Haase,4.83528445265968,4869,Balanced Players
Roger Federer,5.08028225269604,7511,Ultra Aggressors
Roman Safiullin,5.00732899022801,2456,Moderate Aggressors
Sam Querrey,5.2307025151778,1153,Ultra Aggressors
Sebastian Baez,4.85922913393106,10819,Balanced Players
Sebastian Korda,5.0485484867202,8095,Ultra Aggressors
Sebastian Ofner,5.03805668016194,1235,Moderate Aggressors
Soon Woo Kwon,4.9995126705653,2052,Moderate Aggressors
Stan Wawrinka,4.79911250808912,10817,Balanced Players
Stefanos Tsitsipas,5.05122600532437,35685,Ultra Aggressors
Steve Darcis,4.17321016166282,1299,Conservative Players
Steve Johnson,4.78713056490834,2673,Balanced Players
Tallon Griekspoor,5.010279743849,17802,Moderate Aggressors
Taylor Fritz,4.94590777921041,16287,Moderate Aggressors
Tennys Sandgren,4.93254329990884,3291,Moderate Aggressors
Thanasi Kokkinakis,4.88761014206078,5561,Balanced Players
Thiago Agustin Tirante,5.0301724137931,1160,Moderate Aggressors
Thiago Monteiro,4.96450360510261,1803,Moderate Aggressors
Thiago Seyboth Wild,4.99967341606793,3062,Moderate Aggressors
Tim Van Rijthoven,4.92350463352991,5935,Moderate Aggressors
Tomas Machac,5.08818181818182,2200,Ultra Aggressors
Tomas Martin Etcheverry,4.9672882910425,3271,Moderate Aggressors
Tommy Paul,4.84054650373387,11784,Balanced Players
Ugo Humbert,4.98949211908932,1142,Moderate Aggressors
Vasek Pospisil,5.03561116458133,3117,Moderate Aggressors
Yannick Hanfmann,5.20538720538721,1188,Ultra Aggressors
Yibing Wu,4.97427293064877,1788,Moderate Aggressors
Yoshihito Nishioka,4.75068451475509,6574,Balanced Players
Zdenek Kolar,4.94830246913581,1296,Moderate Aggressors
